n_codebooks,bitrate,compression_ratio,encoded_size,original_size
1,0.75,319.80555555555554,792,253286
2,1.5,159.90277777777777,1584,253286
3,2.25,106.60185185185185,2376,253286
4,3.0,79.95138888888889,3168,253286
5,3.75,63.96111111111111,3960,253286
6,4.5,53.300925925925924,4752,253286
7,5.25,45.68650793650794,5544,253286
8,6.0,39.97569444444444,6336,253286
9,6.75,35.53395061728395,7128,253286
10,7.5,31.980555555555554,7920,253286
11,8.25,29.07323232323232,8712,253286
12,9.0,26.650462962962962,9504,253286
13,9.75,24.60042735042735,10296,253286
14,10.5,22.84325396825397,11088,253286
15,11.25,21.32037037037037,11880,253286
16,12.0,19.98784722222222,12672,253286
17,12.75,18.812091503267975,13464,253286
18,13.5,17.766975308641975,14256,253286
19,14.25,16.83187134502924,15048,253286
20,15.0,15.990277777777777,15840,253286
21,15.75,15.22883597883598,16632,253286
22,16.5,14.53661616161616,17424,253286
23,17.25,13.904589371980677,18216,253286
24,18.0,13.325231481481481,19008,253286
25,18.75,12.792222222222222,19800,253286
26,19.5,12.300213675213675,20592,253286
27,20.25,11.844650205761317,21384,253286
28,21.0,11.421626984126984,22176,253286
29,21.75,11.027777777777779,22968,253286
30,22.5,10.660185185185185,23760,253286
31,23.25,10.3163082437276,24552,253286
32,24.0,9.99392361111111,25344,253286
