text,audio
Hello.,dataset/clips/0.wav
Can you hear me?,dataset/clips/1.wav
I need your help right now.,dataset/clips/2.wav
Turn off the kitchen lights.,dataset/clips/3.wav
She went to the store yesterday.,dataset/clips/4.wav
What time is the meeting?,dataset/clips/5.wav
He doesn't know the answer.,dataset/clips/6.wav
Please speak more clearly.,dataset/clips/7.wav
I'm on my way home.,dataset/clips/8.wav
That was an amazing performance.,dataset/clips/9.wav
Where are my keys?,dataset/clips/10.wav
Do you remember his name?,dataset/clips/11.wav
I forgot to send the email.,dataset/clips/12.wav
Let's meet after lunch.,dataset/clips/13.wav
This isn't what I expected.,dataset/clips/14.wav
Call me when you get there.,dataset/clips/15.wav
Don't open the window yet.,dataset/clips/16.wav
Why is the sky so red?,dataset/clips/17.wav
I'll be there in five minutes.,dataset/clips/18.wav
Who left the lights on?,dataset/clips/19.wav
That sounds like a great idea.,dataset/clips/20.wav
I love this kind of music.,dataset/clips/21.wav
She forgot her umbrella again.,dataset/clips/22.wav
Please bring me a glass of water.,dataset/clips/23.wav
The power went out last night.,dataset/clips/24.wav
Are you sure about that?,dataset/clips/25.wav
Don't forget to lock the door.,dataset/clips/26.wav
I need to charge my phone.,dataset/clips/27.wav
Let's take a break for now.,dataset/clips/28.wav
Where did you put my book?,dataset/clips/29.wav
He's never late for work.,dataset/clips/30.wav
We should probably get going.,dataset/clips/31.wav
This box is too heavy.,dataset/clips/32.wav
Can you help me move this?,dataset/clips/33.wav
I found your missing glove.,dataset/clips/34.wav
"Keep the change, thank you.",dataset/clips/35.wav
I haven’t eaten all day.,dataset/clips/36.wav
Let me explain what happened.,dataset/clips/37.wav
You won't believe what I saw.,dataset/clips/38.wav
The package has not yet arrived.,dataset/clips/39.wav
Please stay calm and focused.,dataset/clips/40.wav
I'll meet you outside the café.,dataset/clips/41.wav
You need to restart your computer.,dataset/clips/42.wav
They arrived earlier than expected.,dataset/clips/43.wav
This coffee tastes really bitter.,dataset/clips/44.wav
The dog barked all night long.,dataset/clips/45.wav
I accidentally deleted the file.,dataset/clips/46.wav
Let's try something different today.,dataset/clips/47.wav
Have you ever been to Japan?,dataset/clips/48.wav
This app keeps crashing on me.,dataset/clips/49.wav
Don't be afraid to ask questions.,dataset/clips/50.wav
What did he say to you?,dataset/clips/51.wav
My shoes are completely soaked.,dataset/clips/52.wav
He can run faster than me.,dataset/clips/53.wav
I’m not ready for that yet.,dataset/clips/54.wav
Do you want to come along?,dataset/clips/55.wav
That wasn’t part of the plan.,dataset/clips/56.wav
I need to cancel my appointment.,dataset/clips/57.wav
Who’s coming to the party tonight?,dataset/clips/58.wav
The train is running late again.,dataset/clips/59.wav
We forgot to buy toilet paper.,dataset/clips/60.wav
Is that your final decision?,dataset/clips/61.wav
She teaches English on the weekends.,dataset/clips/62.wav
They’re building a new park nearby.,dataset/clips/63.wav
I think we missed the exit.,dataset/clips/64.wav
What's your favorite kind of food?,dataset/clips/65.wav
I just cleaned the entire house.,dataset/clips/66.wav
Can you repeat that slowly?,dataset/clips/67.wav
I’ll call you back later.,dataset/clips/68.wav
Don't make the same mistake twice.,dataset/clips/69.wav
He plays guitar in a band.,dataset/clips/70.wav
This book is really interesting.,dataset/clips/71.wav
We met on a rainy day.,dataset/clips/72.wav
How many languages do you speak?,dataset/clips/73.wav
The water is too cold to swim.,dataset/clips/74.wav
She left without saying goodbye.,dataset/clips/75.wav
Try turning it off and on again.,dataset/clips/76.wav
This is my favorite movie ever.,dataset/clips/77.wav
I hope it doesn't rain tomorrow.,dataset/clips/78.wav
He forgot his password again.,dataset/clips/79.wav
The kids are playing outside now.,dataset/clips/80.wav
Why are you whispering like that?,dataset/clips/81.wav
My hands are freezing cold.,dataset/clips/82.wav
I'm going to need more time.,dataset/clips/83.wav
Let’s keep this between us.,dataset/clips/84.wav
He won’t answer his phone today.,dataset/clips/85.wav
That's a very good question.,dataset/clips/86.wav
Please don’t make me do that.,dataset/clips/87.wav
I'll text you the address later.,dataset/clips/88.wav
"Can you lower your voice, please?",dataset/clips/89.wav
Let’s walk instead of driving.,dataset/clips/90.wav
I have to leave in ten minutes.,dataset/clips/91.wav
That joke wasn't very funny.,dataset/clips/92.wav
My laptop just shut down unexpectedly.,dataset/clips/93.wav
How do I fix this issue?,dataset/clips/94.wav
It happened without any warning.,dataset/clips/95.wav
I love walking in the rain.,dataset/clips/96.wav
Why did you cancel the meeting?,dataset/clips/97.wav
That really caught me off guard.,dataset/clips/98.wav
"Could you open the window, please?",dataset/clips/99.wav
We’ve got a long way to go.,dataset/clips/100.wav
Tell me more about your project.,dataset/clips/101.wav
I’m not sure what you mean.,dataset/clips/102.wav
